"District","District Code","English Learner Status","Count","%"
"East Granby School District","=""0400011""","English Learner Status","N/A","*"
"East Haddam School District","=""0410011""","English Learner Status","N/A","*"
"East Hampton School District","=""0420011""","English Learner Status","N/A","*"
"East Hartford School District","=""0430011""","English Learner Status",85,12.9
"East Haven School District","=""0440011""","English Learner Status",19,8.8
"East Lyme School District","=""0450011""","English Learner Status","*","*"
"Easton School District","=""0460011""","English Learner Status","N/A","*"
"East Windsor School District","=""0470011""","English Learner Status","N/A","N/A"
"Ellington School District","=""0480011""","English Learner Status","*","*"
"Enfield School District","=""0490011""","English Learner Status","*","*"
"Essex School District","=""0500011""","English Learner Status","N/A","*"
"Fairfield School District","=""0510011""","English Learner Status",12,5.5
"Farmington School District","=""0520011""","English Learner Status","N/A","N/A"
"Glastonbury School District","=""0540011""","English Learner Status","*","*"
"Granby School District","=""0560011""","English Learner Status","N/A","*"
"Greenwich School District","=""0570011""","English Learner Status",7,1.4
"Griswold School District","=""0580011""","English Learner Status","N/A","*"
"Groton School District","=""0590011""","English Learner Status",12,11.4
"Guilford School District","=""0600011""","English Learner Status","*","*"
"Hamden School District","=""0620011""","English Learner Status",22,9.2
"Hartford School District","=""0640011""","English Learner Status",637,17.0
"Hebron School District","=""0670011""","English Learner Status","N/A","*"
"Kent School District","=""0680011""","English Learner Status","N/A","*"
"Killingly School District","=""0690011""","English Learner Status","*","*"
"Lebanon School District","=""0710011""","English Learner Status","N/A","*"
"Ledyard School District","=""0720011""","English Learner Status","*","*"
"Lisbon School District","=""0730011""","English Learner Status","N/A","*"
"Litchfield School District","=""0740011""","English Learner Status","N/A","*"
"Madison School District","=""0760011""","English Learner Status","N/A","N/A"
"Manchester School District","=""0770011""","English Learner Status",28,7.8
"Mansfield School District","=""0780011""","English Learner Status","*","*"
"Marlborough School District","=""0790011""","English Learner Status","N/A","*"
"Meriden School District","=""0800011""","English Learner Status",117,11.2
"Middletown School District","=""0830011""","English Learner Status",11,7.3
"Milford School District","=""0840011""","English Learner Status","*","*"
"Monroe School District","=""0850011""","English Learner Status","*","*"
"Montville School District","=""0860011""","English Learner Status","*","*"
"Naugatuck School District","=""0880011""","English Learner Status",11,7.1
"New Britain School District","=""0890011""","English Learner Status",441,25.4
"New Canaan School District","=""0900011""","English Learner Status","N/A","N/A"
