"District","District Code","English Learner Status","Count","%"
"New Canaan School District","=""0900011""","English Learner Status","*","*"
"New Fairfield School District","=""0910011""","English Learner Status","N/A","N/A"
"New Hartford School District","=""0920011""","English Learner Status","N/A","*"
"New Haven School District","=""0930011""","English Learner Status",210,7.9
"Newington School District","=""0940011""","English Learner Status",12,7.5
"New London School District","=""0950011""","English Learner Status",107,16.1
"New Milford School District","=""0960011""","English Learner Status","*","*"
"Newtown School District","=""0970011""","English Learner Status","N/A","*"
"North Branford School District","=""0990011""","English Learner Status","*","*"
"North Canaan School District","=""1000011""","English Learner Status","N/A","*"
"North Haven School District","=""1010011""","English Learner Status","N/A","N/A"
"Norwalk School District","=""1030011""","English Learner Status",93,6.9
"Norwich School District","=""1040011""","English Learner Status",45,9.8
"Old Saybrook School District","=""1060011""","English Learner Status","*","*"
"Orange School District","=""1070011""","English Learner Status","N/A","*"
"Oxford School District","=""1080011""","English Learner Status","N/A","N/A"
"Plainfield School District","=""1090011""","English Learner Status","*","*"
"Plainville School District","=""1100011""","English Learner Status","*","*"
"Plymouth School District","=""1110011""","English Learner Status","N/A","*"
"Pomfret School District","=""1120011""","English Learner Status","N/A","*"
"Portland School District","=""1130011""","English Learner Status","*","*"
"Preston School District","=""1140011""","English Learner Status","*","*"
"Putnam School District","=""1160011""","English Learner Status","*","*"
"Redding School District","=""1170011""","English Learner Status","*","*"
"Ridgefield School District","=""1180011""","English Learner Status","*","*"
"Rocky Hill School District","=""1190011""","English Learner Status","*","*"
"Salem School District","=""1210011""","English Learner Status","N/A","*"
"Seymour School District","=""1240011""","English Learner Status","*","*"
"Shelton School District","=""1260011""","English Learner Status","*","*"
"Sherman School District","=""1270011""","English Learner Status","N/A","*"
"Simsbury School District","=""1280011""","English Learner Status","*","*"
"Somers School District","=""1290011""","English Learner Status","*","*"
"Southington School District","=""1310011""","English Learner Status","*","*"
"South Windsor School District","=""1320011""","English Learner Status","*","*"
"Sprague School District","=""1330011""","English Learner Status","N/A","*"
"Stafford School District","=""1340011""","English Learner Status","*","*"
"Stamford School District","=""1350011""","English Learner Status",72,3.5
"Stonington School District","=""1370011""","English Learner Status","N/A","*"
"Stratford School District","=""1380011""","English Learner Status",10,2.9
"Suffield School District","=""1390011""","English Learner Status","N/A","*"
"Thomaston School District","=""1400011""","English Learner Status","N/A","*"
"Thompson School District","=""1410011""","English Learner Status","N/A","*"
"Tolland School District","=""1420011""","English Learner Status","N/A","*"
"Torrington School District","=""1430011""","English Learner Status",25,7.5
"Trumbull School District","=""1440011""","English Learner Status","*","*"
"Vernon School District","=""1460011""","English Learner Status","*","*"
"Wallingford School District","=""1480011""","English Learner Status",7,2.8
"Waterbury School District","=""1510011""","English Learner Status",457,22.5
"Waterford School District","=""1520011""","English Learner Status","*","*"
"Watertown School District","=""1530011""","English Learner Status","*","*"
"Westbrook School District","=""1540011""","English Learner Status","N/A","N/A"
"West Hartford School District","=""1550011""","English Learner Status",30,5.2
"West Haven School District","=""1560011""","English Learner Status",28,4.1
"Weston School District","=""1570011""","English Learner Status","N/A","*"
"Westport School District","=""1580011""","English Learner Status","*","*"
"Wethersfield School District","=""1590011""","English Learner Status",13,8.0
"Willington School District","=""1600011""","English Learner Status","*","*"
"Wilton School District","=""1610011""","English Learner Status","N/A","N/A"
"Winchester School District","=""1620011""","English Learner Status","*","*"
"Windham School District","=""1630011""","English Learner Status",181,22.0
"Windsor School District","=""1640011""","English Learner Status",14,11.4
"Windsor Locks School District","=""1650011""","English Learner Status","*","*"
"Wolcott School District","=""1660011""","English Learner Status","*","*"
"Woodbridge School District","=""1670011""","English Learner Status","N/A","*"
"Woodstock School District","=""1690011""","English Learner Status","N/A","*"
"Regional School District 04","=""2040012""","English Learner Status","*","*"
"Regional School District 05","=""2050012""","English Learner Status","N/A","*"
"Regional School District 06","=""2060012""","English Learner Status","*","*"
"Regional School District 07","=""2070012""","English Learner Status","N/A","*"
"Regional School District 08","=""2080012""","English Learner Status","N/A","*"
"Regional School District 09","=""2090012""","English Learner Status","N/A","*"
"Regional School District 10","=""2100012""","English Learner Status","N/A","N/A"
"Regional School District 12","=""2120012""","English Learner Status","N/A","*"
"Regional School District 13","=""2130012""","English Learner Status","N/A","*"
"Regional School District 14","=""2140012""","English Learner Status","*","*"
"Regional School District 15","=""2150012""","English Learner Status","*","*"
"Regional School District 16","=""2160012""","English Learner Status","N/A","N/A"
"Regional School District 17","=""2170012""","English Learner Status","*","*"
"Regional School District 18","=""2180012""","English Learner Status","N/A","*"
"Regional School District 19","=""2190012""","English Learner Status","N/A","*"
"Capitol Region Education Council","=""2410014""","English Learner Status",13,10.2
"Area Cooperative Educational Services","=""2440014""","English Learner Status",8,20.5
"Learn","=""2450014""","English Learner Status","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","English Learner Status","N/A","*"
"Jumoke Academy District","=""2610013""","English Learner Status","N/A","*"
"Integrated Day Charter School District","=""2640013""","English Learner Status","N/A","*"
"Interdistrict School for Arts and Comm District","=""2650013""","English Learner Status","*","*"
"Common Ground High School District","=""2680013""","English Learner Status","N/A","*"
"The Bridge Academy District","=""2690013""","English Learner Status","*","*"
"Side By Side Charter School District","=""2700013""","English Learner Status","N/A","*"
"Amistad Academy District","=""2790013""","English Learner Status",17,16.7
"Park City Prep Charter School District","=""2830013""","English Learner Status","*","*"
"Bridgeport Achievement First District","=""2850013""","English Learner Status",14,23.0
"Achievement First Hartford Academy Inc. District","=""2880013""","English Learner Status",13,23.6
