"",,,"2011-12",,"2012-13",,"2013-14",,"2014-15",,"2015-16",
"District","District Code","English Learner Status","Count","%","Count","%","Count","%","Count","%","Count","%"
"Achievement First Hartford Academy Inc. District","=""2880013""","English Learner Status",13,23.6,19,46.3,10,34.5,14,26.9,11,22.9
"Amistad Academy District","=""2790013""","English Learner Status",17,16.7,20,27.0,34,33.7,25,22.1,18,16.7
"Andover School District","=""0010011""","English Learner Status","N/A","*","N/A","*","N/A","*","*","*","N/A","*"
"Ansonia School District","=""0020011""","English Learner Status","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","English Learner Status",8,20.5,9,21.4,13,26.0,9,15.5,11,19.0
"Ashford School District","=""0030011""","English Learner Status","*","*","N/A","*","N/A","*","N/A","*","N/A","*"
"Avon School District","=""0040011""","English Learner Status","N/A","N/A","N/A","N/A","N/A","N/A","*","*","*","*"
"Barkhamsted School District","=""0050011""","English Learner Status","N/A","*","*","*","N/A","*","N/A","N/A","N/A","N/A"
"Berlin School District","=""0070011""","English Learner Status","*","*","*","*","*","*","*","*","*","*"
"Bethany School District","=""0080011""","English Learner Status","N/A","*","N/A","N/A","N/A","N/A","N/A","*","N/A","*"
"Bethel School District","=""0090011""","English Learner Status",7,8.1,6,7.3,"*","*",7,6.4,"*","*"
"Bloomfield School District","=""0110011""","English Learner Status",6,16.2,"*","*",7,25.0,"*","*","*","*"
"Bolton School District","=""0120011""","English Learner Status","N/A","*","N/A","*","N/A","*","N/A","*","*","*"
"Bozrah School District","=""0130011""","English Learner Status","N/A","N/A","N/A","*","N/A","*","N/A","*","N/A","*"
"Branford School District","=""0140011""","English Learner Status",6,4.8,"*","*","*","*","*","*","*","*"
"Bridgeport Achievement First District","=""2850013""","English Learner Status",14,23.0,10,13.2,27,28.1,28,26.2,25,20.0
"Bridgeport School District","=""0150011""","English Learner Status",319,12.1,336,12.0,324,11.4,337,11.0,342,11.5
"Bristol School District","=""0170011""","English Learner Status",32,11.1,38,11.4,36,10.7,36,9.7,28,7.6
"Brookfield School District","=""0180011""","English Learner Status","*","*","*","*","*","*","*","*","*","*"
"Brooklyn School District","=""0190011""","English Learner Status","N/A","*","N/A","*","N/A","*","N/A","*","N/A","*"
"Canaan School District","=""0210011""","English Learner Status","N/A","N/A","N/A","*","N/A","*","N/A","*","N/A","*"
"Canterbury School District","=""0220011""","English Learner Status","N/A","*","N/A","N/A","N/A","*","N/A","N/A","N/A","N/A"
"Canton School District","=""0230011""","English Learner Status","*","*","*","*","*","*","*","*","N/A","*"
"Capitol Region Education Council","=""2410014""","English Learner Status",13,10.2,29,14.2,26,11.5,33,9.9,30,7.5
"Chaplin School District","=""0240011""","English Learner Status","N/A","N/A","N/A","*","N/A","*","N/A","*","N/A","N/A"
"Cheshire School District","=""0250011""","English Learner Status","*","*","*","*","*","*","N/A","N/A","*","*"
"Chester School District","=""0260011""","English Learner Status","*","*","N/A","N/A","N/A","*","N/A","N/A","N/A","*"
"Clinton School District","=""0270011""","English Learner Status",6,14.6,"*","*","*","*","*","*","*","*"
"Colchester School District","=""0280011""","English Learner Status","*","*","*","*","*","*","*","*","N/A","N/A"
"Common Ground High School District","=""2680013""","English Learner Status","N/A","*","N/A","*","N/A","*","N/A","*","N/A","*"
"Connecticut Technical High School System","=""9000016""","English Learner Status",54,19.8,41,15.2,50,17.5,43,12.3,43,11.5
"Cooperative Educational Services","=""2430014""","English Learner Status","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*"
"Cornwall School District","=""0310011""","English Learner Status","N/A","N/A","N/A","*","N/A","*","N/A","*","N/A","*"
"Coventry School District","=""0320011""","English Learner Status","N/A","*","N/A","N/A","N/A","*","N/A","*","N/A","*"
"Cromwell School District","=""0330011""","English Learner Status","N/A","N/A","*","*","*","*","*","*","*","*"
"Danbury School District","=""0340011""","English Learner Status",245,12.0,267,12.1,181,7.8,236,9.1,182,6.6
"Darien School District","=""0350011""","English Learner Status","N/A","N/A","N/A","*","N/A","N/A","N/A","N/A","N/A","*"
"Deep River School District","=""0360011""","English Learner Status","N/A","*","N/A","*","*","*","N/A","*","N/A","*"
"Derby School District","=""0370011""","English Learner Status",9,8.5,8,7.9,7,7.4,13,17.1,"*","*"
"East Granby School District","=""0400011""","English Learner Status","N/A","*","N/A","*","N/A","*","N/A","*","N/A","*"
"East Haddam School District","=""0410011""","English Learner Status","N/A","*","N/A","*","N/A","*","N/A","N/A","N/A","N/A"
"East Hampton School District","=""0420011""","English Learner Status","N/A","*","N/A","*","N/A","*","N/A","*","N/A","*"
"East Hartford School District","=""0430011""","English Learner Status",90,15.1,82,12.9,85,12.9,99,13.7,57,8.2
"East Haven School District","=""0440011""","English Learner Status",13,6.3,7,3.3,19,8.8,7,2.9,10,4.3
"East Lyme School District","=""0450011""","English Learner Status","N/A","N/A","*","*","*","*","*","*","*","*"
"East Windsor School District","=""0470011""","English Learner Status","*","*","*","*","N/A","N/A","N/A","N/A","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","English Learner Status","N/A","*","N/A","*","N/A","*","*","*","*","*"
"Easton School District","=""0460011""","English Learner Status","N/A","*","N/A","*","N/A","*","N/A","*","N/A","*"
"Ellington School District","=""0480011""","English Learner Status","*","*","*","*","*","*","*","*","*","*"
"Elm City College Preparatory School District","=""2890013""","English Learner Status","*","*","*","*",12,26.1,"*","*","*","*"
"Elm City Montessori School District","=""2910013""","English Learner Status","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*","N/A","*"
"Enfield School District","=""0490011""","English Learner Status","*","*","*","*","*","*","*","*","*","*"
"Essex School District","=""0500011""","English Learner Status","N/A","*","N/A","*","N/A","*","N/A","*","N/A","*"
"Fairfield School District","=""0510011""","English Learner Status","*","*",13,6.2,12,5.5,18,8.6,9,3.9
"Farmington School District","=""0520011""","English Learner Status","*","*","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Glastonbury School District","=""0540011""","English Learner Status","*","*","N/A","N/A","*","*","*","*","*","*"
"Granby School District","=""0560011""","English Learner Status","N/A","*","N/A","*","N/A","*","N/A","*","N/A","*"
"Great Oaks Charter School District","=""2940013""","English Learner Status","N/A","N/A","N/A","N/A","N/A","N/A",6,"*",7,21.9
"Greenwich School District","=""0570011""","English Learner Status",8,1.6,12,2.5,7,1.4,11,1.9,8,1.6
"Griswold School District","=""0580011""","English Learner Status","N/A","N/A","N/A","N/A","N/A","*","N/A","*","N/A","N/A"
"Groton School District","=""0590011""","English Learner Status",21,19.8,16,13.9,12,11.4,12,9.2,15,11.5
"Guilford School District","=""0600011""","English Learner Status","N/A","N/A","N/A","N/A","*","*","N/A","N/A","N/A","N/A"
"Hamden School District","=""0620011""","English Learner Status",12,4.7,14,5.2,22,9.2,15,5.3,20,6.9
"Hartford School District","=""0640011""","English Learner Status",581,16.0,677,18.3,637,17.0,625,16.0,513,12.9
"Hebron School District","=""0670011""","English Learner Status","N/A","*","N/A","*","N/A","*","N/A","*","N/A","*"
"Highville Charter School District","=""2860013""","English Learner Status","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*"
"Integrated Day Charter School District","=""2640013""","English Learner Status","N/A","*","N/A","N/A","*","*","N/A","N/A","N/A","N/A"
"Interdistrict School for Arts and Comm District","=""2650013""","English Learner Status","*","*","*","*",6,15.8,8,25.8,"*","*"
"Jumoke Academy District","=""2610013""","English Learner Status","N/A","*","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Kent School District","=""0680011""","English Learner Status","N/A","*","N/A","*","N/A","*","N/A","*","N/A","*"
"Killingly School District","=""0690011""","English Learner Status","*","*","*","*","*","*","*","*","*","*"
"Learn","=""2450014""","English Learner Status","*","*","*","*","*","*",8,6.8,10,4.8
"Lebanon School District","=""0710011""","English Learner Status","N/A","*","N/A","*","N/A","*","N/A","*","N/A","*"
"Ledyard School District","=""0720011""","English Learner Status","*","*","*","*","*","*","*","*","N/A","N/A"
"Lisbon School District","=""0730011""","English Learner Status","N/A","*","N/A","*","N/A","*","N/A","*","N/A","*"
"Litchfield School District","=""0740011""","English Learner Status","*","*","N/A","*","N/A","*","N/A","*","N/A","*"
"Madison School District","=""0760011""","English Learner Status","N/A","*","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*"
"Manchester School District","=""0770011""","English Learner Status",27,8.2,33,9.7,28,7.8,27,7.4,25,6.5
"Mansfield School District","=""0780011""","English Learner Status","N/A","N/A","N/A","N/A","*","*","N/A","N/A","N/A","N/A"
"Marlborough School District","=""0790011""","English Learner Status","N/A","*","N/A","*","N/A","*","N/A","*","N/A","N/A"
"Meriden School District","=""0800011""","English Learner Status",185,18.2,147,14.8,117,11.2,123,10.3,83,7.0
"Middletown School District","=""0830011""","English Learner Status",10,6.9,12,7.7,11,7.3,18,9.9,14,7.6
"Milford School District","=""0840011""","English Learner Status","*","*","*","*","*","*","*","*","*","*"
