"District","District Code","English Learner Status","Count","%"
"Achievement First Hartford Academy Inc. District","=""2880013""","English Learner Status",12,24.0
"Amistad Academy District","=""2790013""","English Learner Status",14,12.2
"Andover School District","=""0010011""","English Learner Status","N/A","*"
"Ansonia School District","=""0020011""","English Learner Status","*","*"
"Area Cooperative Educational Services","=""2440014""","English Learner Status",13,26.5
"Ashford School District","=""0030011""","English Learner Status","N/A","*"
"Avon School District","=""0040011""","English Learner Status","*","*"
"Berlin School District","=""0070011""","English Learner Status","*","*"
"Bethany School District","=""0080011""","English Learner Status","N/A","*"
"Bethel School District","=""0090011""","English Learner Status",9,6.2
"Bloomfield School District","=""0110011""","English Learner Status","*","*"
"Bolton School District","=""0120011""","English Learner Status","N/A","*"
"Booker T. Washington Academy District","=""2950013""","English Learner Status","*","*"
"Bozrah School District","=""0130011""","English Learner Status","N/A","*"
"Branford School District","=""0140011""","English Learner Status","*","*"
"Bridgeport Achievement First District","=""2850013""","English Learner Status",15,11.5
"Bridgeport School District","=""0150011""","English Learner Status",291,8.5
"Bristol School District","=""0170011""","English Learner Status",29,7.7
"Brookfield School District","=""0180011""","English Learner Status","*","*"
"Brooklyn School District","=""0190011""","English Learner Status","N/A","*"
"Canaan School District","=""0210011""","English Learner Status","N/A","*"
"Canton School District","=""0230011""","English Learner Status","*","*"
"Capitol Region Education Council","=""2410014""","English Learner Status",47,10.5
"Cheshire School District","=""0250011""","English Learner Status","*","*"
"Chester School District","=""0260011""","English Learner Status","N/A","*"
"Clinton School District","=""0270011""","English Learner Status","*","*"
"Colchester School District","=""0280011""","English Learner Status","N/A","N/A"
"Columbia School District","=""0300011""","English Learner Status","N/A","*"
"Common Ground High School District","=""2680013""","English Learner Status","N/A","*"
"Connecticut Technical High School System","=""9000016""","English Learner Status",37,10.1
"Cooperative Educational Services","=""2430014""","English Learner Status","N/A","*"
"Cornwall School District","=""0310011""","English Learner Status","N/A","*"
"Coventry School District","=""0320011""","English Learner Status","N/A","*"
"Cromwell School District","=""0330011""","English Learner Status","*","*"
"Danbury School District","=""0340011""","English Learner Status",197,6.6
"Darien School District","=""0350011""","English Learner Status","N/A","*"
"Deep River School District","=""0360011""","English Learner Status","N/A","*"
"Derby School District","=""0370011""","English Learner Status","*","*"
"East Granby School District","=""0400011""","English Learner Status","N/A","*"
"East Haddam School District","=""0410011""","English Learner Status","N/A","*"
"East Hampton School District","=""0420011""","English Learner Status","N/A","*"
"East Hartford School District","=""0430011""","English Learner Status",64,8.6
"East Haven School District","=""0440011""","English Learner Status",14,6.3
"East Lyme School District","=""0450011""","English Learner Status","*","*"
"East Windsor School District","=""0470011""","English Learner Status","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","English Learner Status","*","*"
"Easton School District","=""0460011""","English Learner Status","N/A","*"
"Ellington School District","=""0480011""","English Learner Status","*","*"
"Elm City College Preparatory School District","=""2890013""","English Learner Status","N/A","N/A"
"Elm City Montessori School District","=""2910013""","English Learner Status","N/A","*"
"Enfield School District","=""0490011""","English Learner Status",6,5.0
"Essex School District","=""0500011""","English Learner Status","N/A","*"
"Fairfield School District","=""0510011""","English Learner Status",7,2.8
"Farmington School District","=""0520011""","English Learner Status","N/A","N/A"
"Franklin School District","=""0530011""","English Learner Status","N/A","*"
"Glastonbury School District","=""0540011""","English Learner Status","*","*"
"Granby School District","=""0560011""","English Learner Status","N/A","*"
"Great Oaks Charter School District","=""2940013""","English Learner Status",12,24.0
"Greenwich School District","=""0570011""","English Learner Status",6,1.3
"Griswold School District","=""0580011""","English Learner Status","*","*"
"Groton School District","=""0590011""","English Learner Status",11,9.7
"Guilford School District","=""0600011""","English Learner Status","*","*"
"Hamden School District","=""0620011""","English Learner Status",15,4.7
"Hartford School District","=""0640011""","English Learner Status",485,12.1
"Hebron School District","=""0670011""","English Learner Status","N/A","*"
"Highville Charter School District","=""2860013""","English Learner Status","N/A","*"
"Integrated Day Charter School District","=""2640013""","English Learner Status","N/A","N/A"
"Interdistrict School for Arts and Comm District","=""2650013""","English Learner Status",6,26.1
"Kent School District","=""0680011""","English Learner Status","N/A","*"
"Killingly School District","=""0690011""","English Learner Status","*","*"
"Learn","=""2450014""","English Learner Status",22,9.2
"Lebanon School District","=""0710011""","English Learner Status","N/A","*"
"Ledyard School District","=""0720011""","English Learner Status","*","*"
"Lisbon School District","=""0730011""","English Learner Status","N/A","*"
"Litchfield School District","=""0740011""","English Learner Status","N/A","*"
"Madison School District","=""0760011""","English Learner Status","N/A","N/A"
"Manchester School District","=""0770011""","English Learner Status",20,4.7
"Mansfield School District","=""0780011""","English Learner Status","N/A","N/A"
"Marlborough School District","=""0790011""","English Learner Status","N/A","*"
"Meriden School District","=""0800011""","English Learner Status",82,6.6
"Middletown School District","=""0830011""","English Learner Status","*","*"
"Milford School District","=""0840011""","English Learner Status","*","*"
"Monroe School District","=""0850011""","English Learner Status","N/A","N/A"
"Montville School District","=""0860011""","English Learner Status","*","*"
"Naugatuck School District","=""0880011""","English Learner Status",13,5.8
"New Britain School District","=""0890011""","English Learner Status",224,13.3
"New Canaan School District","=""0900011""","English Learner Status","*","*"
"New Fairfield School District","=""0910011""","English Learner Status","*","*"
"New Hartford School District","=""0920011""","English Learner Status","N/A","*"
"New Haven School District","=""0930011""","English Learner Status",122,3.5
"New London School District","=""0950011""","English Learner Status",112,13.2
"New Milford School District","=""0960011""","English Learner Status",11,6.9
"Newington School District","=""0940011""","English Learner Status","*","*"
"Newtown School District","=""0970011""","English Learner Status","N/A","N/A"
"North Branford School District","=""0990011""","English Learner Status","N/A","*"
"North Canaan School District","=""1000011""","English Learner Status","N/A","*"
"North Haven School District","=""1010011""","English Learner Status","*","*"
"North Stonington School District","=""1020011""","English Learner Status","N/A","*"
"Norwalk School District","=""1030011""","English Learner Status",103,5.6
"Norwich Free Academy District","=""9010022""","English Learner Status",34,21.5
"Norwich School District","=""1040011""","English Learner Status",29,4.7
"Odyssey Community School District","=""2630013""","English Learner Status","N/A","*"
"Old Saybrook School District","=""1060011""","English Learner Status","*","*"
"Orange School District","=""1070011""","English Learner Status","*","*"
"Oxford School District","=""1080011""","English Learner Status","*","*"
"Park City Prep Charter School District","=""2830013""","English Learner Status","N/A","*"
"Path Academy District","=""2930013""","English Learner Status",7,25.9
"Plainfield School District","=""1090011""","English Learner Status","*","*"
"Plainville School District","=""1100011""","English Learner Status","*","*"
"Plymouth School District","=""1110011""","English Learner Status","N/A","*"
"Pomfret School District","=""1120011""","English Learner Status","N/A","*"
"Portland School District","=""1130011""","English Learner Status","N/A","N/A"
"Preston School District","=""1140011""","English Learner Status","N/A","*"
"Putnam School District","=""1160011""","English Learner Status","*","*"
"Redding School District","=""1170011""","English Learner Status","*","*"
"Regional School District 01","=""2010012""","English Learner Status","N/A","*"
"Regional School District 04","=""2040012""","English Learner Status","N/A","*"
"Regional School District 05","=""2050012""","English Learner Status","*","*"
"Regional School District 06","=""2060012""","English Learner Status","N/A","*"
"Regional School District 08","=""2080012""","English Learner Status","N/A","*"
"Regional School District 09","=""2090012""","English Learner Status","*","*"
"Regional School District 10","=""2100012""","English Learner Status","N/A","N/A"
"Regional School District 11","=""2110012""","English Learner Status","N/A","*"
"Regional School District 12","=""2120012""","English Learner Status","N/A","*"
"Regional School District 13","=""2130012""","English Learner Status","N/A","*"
"Regional School District 14","=""2140012""","English Learner Status","*","*"
"Regional School District 15","=""2150012""","English Learner Status","N/A","N/A"
"Regional School District 16","=""2160012""","English Learner Status","*","*"
"Regional School District 17","=""2170012""","English Learner Status","*","*"
"Regional School District 18","=""2180012""","English Learner Status","N/A","*"
"Regional School District 19","=""2190012""","English Learner Status","N/A","*"
"Ridgefield School District","=""1180011""","English Learner Status","N/A","N/A"
"Rocky Hill School District","=""1190011""","English Learner Status","N/A","N/A"
"Salisbury School District","=""1220011""","English Learner Status","N/A","*"
"Seymour School District","=""1240011""","English Learner Status","*","*"
"Sharon School District","=""1250011""","English Learner Status","N/A","*"
"Shelton School District","=""1260011""","English Learner Status",8,3.4
"Sherman School District","=""1270011""","English Learner Status","N/A","*"
"Side By Side Charter School District","=""2700013""","English Learner Status","N/A","*"
"Simsbury School District","=""1280011""","English Learner Status","N/A","N/A"
"Somers School District","=""1290011""","English Learner Status","N/A","*"
"South Windsor School District","=""1320011""","English Learner Status","*","*"
"Southington School District","=""1310011""","English Learner Status","*","*"
"Sprague School District","=""1330011""","English Learner Status","*","*"
"Stafford School District","=""1340011""","English Learner Status","N/A","*"
"Stamford Academy District","=""2820013""","English Learner Status","N/A","*"
"Stamford School District","=""1350011""","English Learner Status",111,4.8
"Stonington School District","=""1370011""","English Learner Status","N/A","*"
"Stratford School District","=""1380011""","English Learner Status",9,2.3
"Suffield School District","=""1390011""","English Learner Status","N/A","N/A"
"The Bridge Academy District","=""2690013""","English Learner Status","*","*"
"The Gilbert School District","=""9020022""","English Learner Status","*","*"
"Thomaston School District","=""1400011""","English Learner Status","N/A","*"
"Thompson School District","=""1410011""","English Learner Status","N/A","*"
"Tolland School District","=""1420011""","English Learner Status","N/A","*"
"Torrington School District","=""1430011""","English Learner Status",25,6.3
"Trailblazers Academy District","=""2780013""","English Learner Status","N/A","*"
"Trumbull School District","=""1440011""","English Learner Status","*","*"
"Unified School District #1","=""3360015""","English Learner Status","N/A","*"
"Unified School District #2","=""3470015""","English Learner Status","N/A","*"
"Vernon School District","=""1460011""","English Learner Status",9,8.4
"Wallingford School District","=""1480011""","English Learner Status",11,3.4
"Waterbury School District","=""1510011""","English Learner Status",479,17.9
"Waterford School District","=""1520011""","English Learner Status","*","*"
"Watertown School District","=""1530011""","English Learner Status","*","*"
"West Hartford School District","=""1550011""","English Learner Status",26,4.5
"West Haven School District","=""1560011""","English Learner Status",17,2.1
"Westbrook School District","=""1540011""","English Learner Status","*","*"
"Weston School District","=""1570011""","English Learner Status","N/A","N/A"
"Westport School District","=""1580011""","English Learner Status","N/A","N/A"
"Wethersfield School District","=""1590011""","English Learner Status",13,4.5
"Willington School District","=""1600011""","English Learner Status","N/A","*"
"Wilton School District","=""1610011""","English Learner Status","N/A","N/A"
"Winchester School District","=""1620011""","English Learner Status","*","*"
"Windham School District","=""1630011""","English Learner Status",121,13.9
"Windsor Locks School District","=""1650011""","English Learner Status","*","*"
"Windsor School District","=""1640011""","English Learner Status",8,5.6
"Wolcott School District","=""1660011""","English Learner Status","*","*"
"Woodbridge School District","=""1670011""","English Learner Status","N/A","*"
"Woodstock School District","=""1690011""","English Learner Status","N/A","*"

