"District","District Code","English Learner Status","Count","%"
"Andover School District","=""0010011""","English Learner Status","N/A","*"
"Ansonia School District","=""0020011""","English Learner Status","*","*"
"Ashford School District","=""0030011""","English Learner Status","N/A","*"
"Avon School District","=""0040011""","English Learner Status","N/A","N/A"
"Barkhamsted School District","=""0050011""","English Learner Status","*","*"
"Berlin School District","=""0070011""","English Learner Status","*","*"
"Bethel School District","=""0090011""","English Learner Status",6,7.3
"Bloomfield School District","=""0110011""","English Learner Status","*","*"
"Bolton School District","=""0120011""","English Learner Status","N/A","*"
"Bozrah School District","=""0130011""","English Learner Status","N/A","*"
"Branford School District","=""0140011""","English Learner Status","*","*"
"Bridgeport School District","=""0150011""","English Learner Status",336,12.0
"Bristol School District","=""0170011""","English Learner Status",38,11.4
"Brookfield School District","=""0180011""","English Learner Status","*","*"
"Brooklyn School District","=""0190011""","English Learner Status","N/A","*"
"Canaan School District","=""0210011""","English Learner Status","N/A","*"
"Canton School District","=""0230011""","English Learner Status","*","*"
"Chaplin School District","=""0240011""","English Learner Status","N/A","*"
"Cheshire School District","=""0250011""","English Learner Status","*","*"
"Clinton School District","=""0270011""","English Learner Status","*","*"
"Colchester School District","=""0280011""","English Learner Status","*","*"
"Cornwall School District","=""0310011""","English Learner Status","N/A","*"
"Cromwell School District","=""0330011""","English Learner Status","*","*"
"Danbury School District","=""0340011""","English Learner Status",267,12.1
"Darien School District","=""0350011""","English Learner Status","N/A","*"
"Deep River School District","=""0360011""","English Learner Status","N/A","*"
"Derby School District","=""0370011""","English Learner Status",8,7.9
"East Granby School District","=""0400011""","English Learner Status","N/A","*"
"East Haddam School District","=""0410011""","English Learner Status","N/A","*"
"East Hampton School District","=""0420011""","English Learner Status","N/A","*"
"East Hartford School District","=""0430011""","English Learner Status",82,12.9
"East Haven School District","=""0440011""","English Learner Status",7,3.3
"East Lyme School District","=""0450011""","English Learner Status","*","*"
"Easton School District","=""0460011""","English Learner Status","N/A","*"
"East Windsor School District","=""0470011""","English Learner Status","*","*"
"Ellington School District","=""0480011""","English Learner Status","*","*"
"Enfield School District","=""0490011""","English Learner Status","*","*"
"Essex School District","=""0500011""","English Learner Status","N/A","*"
"Fairfield School District","=""0510011""","English Learner Status",13,6.2
"Farmington School District","=""0520011""","English Learner Status","N/A","N/A"
"Glastonbury School District","=""0540011""","English Learner Status","N/A","N/A"
"Granby School District","=""0560011""","English Learner Status","N/A","*"
"Greenwich School District","=""0570011""","English Learner Status",12,2.5
"Griswold School District","=""0580011""","English Learner Status","N/A","N/A"
"Groton School District","=""0590011""","English Learner Status",16,13.9
"Guilford School District","=""0600011""","English Learner Status","N/A","N/A"
"Hamden School District","=""0620011""","English Learner Status",14,5.2
"Hartford School District","=""0640011""","English Learner Status",677,18.3
"Hebron School District","=""0670011""","English Learner Status","N/A","*"
"Kent School District","=""0680011""","English Learner Status","N/A","*"
"Killingly School District","=""0690011""","English Learner Status","*","*"
"Lebanon School District","=""0710011""","English Learner Status","N/A","*"
"Ledyard School District","=""0720011""","English Learner Status","*","*"
"Lisbon School District","=""0730011""","English Learner Status","N/A","*"
"Litchfield School District","=""0740011""","English Learner Status","N/A","*"
"Madison School District","=""0760011""","English Learner Status","N/A","N/A"
"Manchester School District","=""0770011""","English Learner Status",33,9.7
"Mansfield School District","=""0780011""","English Learner Status","N/A","N/A"
"Marlborough School District","=""0790011""","English Learner Status","N/A","*"
"Meriden School District","=""0800011""","English Learner Status",147,14.8
"Middletown School District","=""0830011""","English Learner Status",12,7.7
"Milford School District","=""0840011""","English Learner Status","*","*"
"Monroe School District","=""0850011""","English Learner Status","N/A","*"
"Montville School District","=""0860011""","English Learner Status","*","*"
"Naugatuck School District","=""0880011""","English Learner Status",10,5.7
"New Britain School District","=""0890011""","English Learner Status",368,21.6
"New Canaan School District","=""0900011""","English Learner Status","N/A","N/A"
"New Fairfield School District","=""0910011""","English Learner Status","N/A","N/A"
"New Hartford School District","=""0920011""","English Learner Status","N/A","*"
"New Haven School District","=""0930011""","English Learner Status",161,6.0
"Newington School District","=""0940011""","English Learner Status",7,4.3
"New London School District","=""0950011""","English Learner Status",138,20.4
"New Milford School District","=""0960011""","English Learner Status",6,4.8
"Newtown School District","=""0970011""","English Learner Status","N/A","*"
"North Branford School District","=""0990011""","English Learner Status","*","*"
"North Canaan School District","=""1000011""","English Learner Status","N/A","*"
"North Haven School District","=""1010011""","English Learner Status","*","*"
"Norwalk School District","=""1030011""","English Learner Status",105,7.9
"Norwich School District","=""1040011""","English Learner Status",51,10.8
"Old Saybrook School District","=""1060011""","English Learner Status","N/A","N/A"
"Orange School District","=""1070011""","English Learner Status","N/A","N/A"
"Oxford School District","=""1080011""","English Learner Status","N/A","N/A"
"Plainfield School District","=""1090011""","English Learner Status","*","*"
"Plainville School District","=""1100011""","English Learner Status","*","*"
"Plymouth School District","=""1110011""","English Learner Status","N/A","*"
"Pomfret School District","=""1120011""","English Learner Status","N/A","*"
"Portland School District","=""1130011""","English Learner Status","*","*"
"Preston School District","=""1140011""","English Learner Status","N/A","*"
"Putnam School District","=""1160011""","English Learner Status","*","*"
"Redding School District","=""1170011""","English Learner Status","N/A","*"
"Ridgefield School District","=""1180011""","English Learner Status","N/A","N/A"
"Rocky Hill School District","=""1190011""","English Learner Status","*","*"
"Salem School District","=""1210011""","English Learner Status","N/A","*"
"Seymour School District","=""1240011""","English Learner Status",8,8.5
"Shelton School District","=""1260011""","English Learner Status","*","*"
"Sherman School District","=""1270011""","English Learner Status","N/A","*"
"Simsbury School District","=""1280011""","English Learner Status","N/A","N/A"
"Somers School District","=""1290011""","English Learner Status","*","*"
"Southington School District","=""1310011""","English Learner Status","*","*"
"South Windsor School District","=""1320011""","English Learner Status","N/A","N/A"
"Sprague School District","=""1330011""","English Learner Status","N/A","*"
"Stafford School District","=""1340011""","English Learner Status","N/A","*"
"Stamford School District","=""1350011""","English Learner Status",63,3.0
"Stonington School District","=""1370011""","English Learner Status","N/A","*"
"Stratford School District","=""1380011""","English Learner Status",19,5.9
"Suffield School District","=""1390011""","English Learner Status","N/A","*"
"Thomaston School District","=""1400011""","English Learner Status","N/A","*"
"Tolland School District","=""1420011""","English Learner Status","N/A","N/A"
"Torrington School District","=""1430011""","English Learner Status",29,8.8
"Trumbull School District","=""1440011""","English Learner Status","*","*"
"Vernon School District","=""1460011""","English Learner Status","*","*"
"Wallingford School District","=""1480011""","English Learner Status",12,4.5
"Waterbury School District","=""1510011""","English Learner Status",429,20.3
"Waterford School District","=""1520011""","English Learner Status","*","*"
"Watertown School District","=""1530011""","English Learner Status",6,7.9
"Westbrook School District","=""1540011""","English Learner Status","N/A","N/A"
"West Hartford School District","=""1550011""","English Learner Status",23,4.3
"West Haven School District","=""1560011""","English Learner Status",28,4.1
"Weston School District","=""1570011""","English Learner Status","N/A","*"
"Westport School District","=""1580011""","English Learner Status","N/A","N/A"
"Wethersfield School District","=""1590011""","English Learner Status",9,5.1
"Willington School District","=""1600011""","English Learner Status","N/A","*"
"Wilton School District","=""1610011""","English Learner Status","N/A","N/A"
"Winchester School District","=""1620011""","English Learner Status","*","*"
"Windham School District","=""1630011""","English Learner Status",174,22.1
"Windsor School District","=""1640011""","English Learner Status",13,10.3
"Windsor Locks School District","=""1650011""","English Learner Status","*","*"
"Wolcott School District","=""1660011""","English Learner Status","N/A","N/A"
"Woodbridge School District","=""1670011""","English Learner Status","N/A","*"
"Woodstock School District","=""1690011""","English Learner Status","N/A","*"
"Regional School District 01","=""2010012""","English Learner Status","N/A","*"
"Regional School District 04","=""2040012""","English Learner Status","N/A","*"
"Regional School District 05","=""2050012""","English Learner Status","N/A","*"
"Regional School District 06","=""2060012""","English Learner Status","*","*"
"Regional School District 07","=""2070012""","English Learner Status","N/A","*"
"Regional School District 08","=""2080012""","English Learner Status","N/A","*"
"Regional School District 09","=""2090012""","English Learner Status","N/A","*"
"Regional School District 10","=""2100012""","English Learner Status","N/A","N/A"
"Regional School District 12","=""2120012""","English Learner Status","N/A","*"
"Regional School District 13","=""2130012""","English Learner Status","*","*"
"Regional School District 14","=""2140012""","English Learner Status","N/A","N/A"
"Regional School District 15","=""2150012""","English Learner Status","N/A","N/A"
"Regional School District 16","=""2160012""","English Learner Status","N/A","N/A"
"Regional School District 17","=""2170012""","English Learner Status","N/A","*"
"Regional School District 18","=""2180012""","English Learner Status","N/A","*"
"Regional School District 19","=""2190012""","English Learner Status","N/A","*"
"Capitol Region Education Council","=""2410014""","English Learner Status",29,14.2
"Area Cooperative Educational Services","=""2440014""","English Learner Status",9,21.4
"Learn","=""2450014""","English Learner Status","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","English Learner Status","N/A","*"
"Integrated Day Charter School District","=""2640013""","English Learner Status","N/A","N/A"
"Interdistrict School for Arts and Comm District","=""2650013""","English Learner Status","*","*"
"Common Ground High School District","=""2680013""","English Learner Status","N/A","*"
"The Bridge Academy District","=""2690013""","English Learner Status","*","*"
"Side By Side Charter School District","=""2700013""","English Learner Status","N/A","*"
"Amistad Academy District","=""2790013""","English Learner Status",20,27.0
"New Beginnings Inc., Family Academy District","=""2800013""","English Learner Status","N/A","*"
"Park City Prep Charter School District","=""2830013""","English Learner Status","N/A","*"
"Bridgeport Achievement First District","=""2850013""","English Learner Status",10,13.2
"Achievement First Hartford Academy Inc. District","=""2880013""","English Learner Status",19,46.3
"Elm City College Preparatory School District","=""2890013""","English Learner Status","*","*"
"Unified School District #2","=""3470015""","English Learner Status","*","*"
"Connecticut Technical High School System","=""9000016""","English Learner Status",41,15.2
"Norwich Free Academy District","=""9010022""","English Learner Status",23,17.6
"The Gilbert School District","=""9020022""","English Learner Status","*","*"
"Woodstock Academy District","=""9030022""","English Learner Status","N/A","*"

