"District","District Code","English Learner Status","Count","%"
"Suffield School District","=""1390011""","English Learner Status","N/A","*"
"Thomaston School District","=""1400011""","English Learner Status","N/A","*"
"Thompson School District","=""1410011""","English Learner Status","N/A","*"
"Tolland School District","=""1420011""","English Learner Status","N/A","*"
"Torrington School District","=""1430011""","English Learner Status",24,7.1
"Trumbull School District","=""1440011""","English Learner Status","*","*"
"Vernon School District","=""1460011""","English Learner Status",9,14.1
"Wallingford School District","=""1480011""","English Learner Status",11,4.3
"Waterbury School District","=""1510011""","English Learner Status",524,25.6
"Waterford School District","=""1520011""","English Learner Status","*","*"
"Watertown School District","=""1530011""","English Learner Status","*","*"
"Westbrook School District","=""1540011""","English Learner Status","N/A","*"
"West Hartford School District","=""1550011""","English Learner Status",37,5.7
"West Haven School District","=""1560011""","English Learner Status",30,5.1
"Weston School District","=""1570011""","English Learner Status","N/A","*"
"Westport School District","=""1580011""","English Learner Status","N/A","N/A"
"Wethersfield School District","=""1590011""","English Learner Status",9,5.2
"Willington School District","=""1600011""","English Learner Status","N/A","*"
"Wilton School District","=""1610011""","English Learner Status","N/A","N/A"
"Winchester School District","=""1620011""","English Learner Status","*","*"
"Windham School District","=""1630011""","English Learner Status",167,20.5
"Windsor School District","=""1640011""","English Learner Status",13,9.2
"Windsor Locks School District","=""1650011""","English Learner Status","*","*"
"Wolcott School District","=""1660011""","English Learner Status","*","*"
"Woodbridge School District","=""1670011""","English Learner Status","*","*"
"Woodstock School District","=""1690011""","English Learner Status","N/A","*"
"Regional School District 04","=""2040012""","English Learner Status","*","*"
"Regional School District 05","=""2050012""","English Learner Status","N/A","*"
"Regional School District 06","=""2060012""","English Learner Status","*","*"
"Regional School District 08","=""2080012""","English Learner Status","N/A","*"
"Regional School District 10","=""2100012""","English Learner Status","N/A","N/A"
"Regional School District 12","=""2120012""","English Learner Status","*","*"
"Regional School District 13","=""2130012""","English Learner Status","N/A","*"
"Regional School District 14","=""2140012""","English Learner Status","*","*"
"Regional School District 15","=""2150012""","English Learner Status","N/A","N/A"
"Regional School District 16","=""2160012""","English Learner Status","*","*"
"Regional School District 17","=""2170012""","English Learner Status","N/A","*"
"Regional School District 18","=""2180012""","English Learner Status","N/A","*"
"Regional School District 19","=""2190012""","English Learner Status","*","*"
"Capitol Region Education Council","=""2410014""","English Learner Status",20,14.1
"Area Cooperative Educational Services","=""2440014""","English Learner Status",15,33.3
"Learn","=""2450014""","English Learner Status","*","*"
"Integrated Day Charter School District","=""2640013""","English Learner Status","N/A","*"
"Interdistrict School for Arts and Comm District","=""2650013""","English Learner Status","*","*"
"Common Ground High School District","=""2680013""","English Learner Status","*","*"
"The Bridge Academy District","=""2690013""","English Learner Status","*","*"
"Side By Side Charter School District","=""2700013""","English Learner Status","N/A","*"
"Amistad Academy District","=""2790013""","English Learner Status",9,10.5
"Park City Prep Charter School District","=""2830013""","English Learner Status",6,"*"
"Bridgeport Achievement First District","=""2850013""","English Learner Status","N/A","*"
"Charter School for Young Children on Asylum Hill District","=""2870013""","English Learner Status","N/A","*"
"Achievement First Hartford Academy Inc. District","=""2880013""","English Learner Status",6,28.6
"Elm City College Preparatory School District","=""2890013""","English Learner Status",7,14.6
"Department of Mental Health and Addiction Services","=""3370015""","English Learner Status","N/A","*"
"Unified School District #2","=""3470015""","English Learner Status","N/A","*"
"Connecticut Technical High School System","=""9000016""","English Learner Status",46,16.1
"Norwich Free Academy District","=""9010022""","English Learner Status",17,14.8
"The Gilbert School District","=""9020022""","English Learner Status","*","*"
"Woodstock Academy District","=""9030022""","English Learner Status","N/A","*"
"Andover School District","=""0010011""","English Learner Status","N/A","*"
"Ansonia School District","=""0020011""","English Learner Status","*","*"
"Ashford School District","=""0030011""","English Learner Status","N/A","*"
"Avon School District","=""0040011""","English Learner Status","*","*"
"Barkhamsted School District","=""0050011""","English Learner Status","N/A","*"
"Berlin School District","=""0070011""","English Learner Status","*","*"
"Bethel School District","=""0090011""","English Learner Status",12,12.6
"Bloomfield School District","=""0110011""","English Learner Status","*","*"
"Bolton School District","=""0120011""","English Learner Status","N/A","*"
"Branford School District","=""0140011""","English Learner Status","*","*"
"Bridgeport School District","=""0150011""","English Learner Status",341,12.6
"Bristol School District","=""0170011""","English Learner Status",23,8.9
"Brookfield School District","=""0180011""","English Learner Status","*","*"
"Brooklyn School District","=""0190011""","English Learner Status","N/A","*"
"Canterbury School District","=""0220011""","English Learner Status","N/A","*"
"Canton School District","=""0230011""","English Learner Status","N/A","*"
"Cheshire School District","=""0250011""","English Learner Status","*","*"
"Chester School District","=""0260011""","English Learner Status","N/A","*"
"Clinton School District","=""0270011""","English Learner Status","*","*"
"Colchester School District","=""0280011""","English Learner Status","*","*"
"Columbia School District","=""0300011""","English Learner Status","N/A","*"
"Coventry School District","=""0320011""","English Learner Status","N/A","*"
"Cromwell School District","=""0330011""","English Learner Status","N/A","N/A"
"Danbury School District","=""0340011""","English Learner Status",239,12.0
"Darien School District","=""0350011""","English Learner Status","N/A","N/A"
"Deep River School District","=""0360011""","English Learner Status","N/A","*"
"Derby School District","=""0370011""","English Learner Status",8,8.2
"East Granby School District","=""0400011""","English Learner Status","N/A","*"
"East Haddam School District","=""0410011""","English Learner Status","N/A","*"
"East Hampton School District","=""0420011""","English Learner Status","N/A","*"
"East Hartford School District","=""0430011""","English Learner Status",86,14.2
"East Haven School District","=""0440011""","English Learner Status",14,7.0
"East Lyme School District","=""0450011""","English Learner Status","*","*"
"Easton School District","=""0460011""","English Learner Status","N/A","*"
"East Windsor School District","=""0470011""","English Learner Status","*","*"
"Ellington School District","=""0480011""","English Learner Status","*","*"
"Enfield School District","=""0490011""","English Learner Status","*","*"
"Essex School District","=""0500011""","English Learner Status","N/A","*"
"Fairfield School District","=""0510011""","English Learner Status",10,4.2
"Farmington School District","=""0520011""","English Learner Status","N/A","N/A"
"Glastonbury School District","=""0540011""","English Learner Status","*","*"
"Granby School District","=""0560011""","English Learner Status","N/A","*"
"Greenwich School District","=""0570011""","English Learner Status",14,2.7
"Griswold School District","=""0580011""","English Learner Status","N/A","N/A"
"Groton School District","=""0590011""","English Learner Status",15,14.6
"Guilford School District","=""0600011""","English Learner Status","N/A","N/A"
"Hamden School District","=""0620011""","English Learner Status",9,3.5
"Hampton School District","=""0630011""","English Learner Status","N/A","*"
"Hartford School District","=""0640011""","English Learner Status",737,19.3
"Hebron School District","=""0670011""","English Learner Status","N/A","*"
"Kent School District","=""0680011""","English Learner Status","N/A","*"
"Killingly School District","=""0690011""","English Learner Status","*","*"
"Lebanon School District","=""0710011""","English Learner Status","N/A","*"
"Ledyard School District","=""0720011""","English Learner Status","*","*"
"Litchfield School District","=""0740011""","English Learner Status","*","*"
"Madison School District","=""0760011""","English Learner Status","N/A","*"
"Manchester School District","=""0770011""","English Learner Status",35,9.2
"Mansfield School District","=""0780011""","English Learner Status","N/A","*"
"Marlborough School District","=""0790011""","English Learner Status","N/A","*"
"Meriden School District","=""0800011""","English Learner Status",170,18.0
"Middletown School District","=""0830011""","English Learner Status",13,11.1
"Milford School District","=""0840011""","English Learner Status","*","*"
"Monroe School District","=""0850011""","English Learner Status","N/A","N/A"
"Montville School District","=""0860011""","English Learner Status","N/A","N/A"
"Naugatuck School District","=""0880011""","English Learner Status",15,7.1
"New Britain School District","=""0890011""","English Learner Status",337,19.9
"New Canaan School District","=""0900011""","English Learner Status","N/A","N/A"
"New Fairfield School District","=""0910011""","English Learner Status","*","*"
"New Haven School District","=""0930011""","English Learner Status",269,10.8
"Newington School District","=""0940011""","English Learner Status","*","*"
"New London School District","=""0950011""","English Learner Status",101,14.3
"New Milford School District","=""0960011""","English Learner Status",6,4.7
"Newtown School District","=""0970011""","English Learner Status","N/A","*"
"North Branford School District","=""0990011""","English Learner Status","*","*"
"North Canaan School District","=""1000011""","English Learner Status","N/A","*"
"North Haven School District","=""1010011""","English Learner Status","N/A","N/A"
"North Stonington School District","=""1020011""","English Learner Status","N/A","*"
"Norwalk School District","=""1030011""","English Learner Status",96,7.2
"Norwich School District","=""1040011""","English Learner Status",45,9.9
"Old Saybrook School District","=""1060011""","English Learner Status","*","*"
"Orange School District","=""1070011""","English Learner Status","N/A","*"
"Oxford School District","=""1080011""","English Learner Status","N/A","N/A"
"Plainfield School District","=""1090011""","English Learner Status","*","*"
"Plainville School District","=""1100011""","English Learner Status","*","*"
"Plymouth School District","=""1110011""","English Learner Status","*","*"
"Pomfret School District","=""1120011""","English Learner Status","N/A","*"
"Portland School District","=""1130011""","English Learner Status","N/A","*"
"Preston School District","=""1140011""","English Learner Status","*","*"
"Putnam School District","=""1160011""","English Learner Status","*","*"
"Redding School District","=""1170011""","English Learner Status","N/A","*"
"Ridgefield School District","=""1180011""","English Learner Status","*","*"
"Rocky Hill School District","=""1190011""","English Learner Status",7,8.3
"Salem School District","=""1210011""","English Learner Status","N/A","*"
"Seymour School District","=""1240011""","English Learner Status",8,13.3
"Shelton School District","=""1260011""","English Learner Status","*","*"
"Sherman School District","=""1270011""","English Learner Status","N/A","*"
"Simsbury School District","=""1280011""","English Learner Status","*","*"
"Somers School District","=""1290011""","English Learner Status","*","*"
"Southington School District","=""1310011""","English Learner Status","*","*"
"South Windsor School District","=""1320011""","English Learner Status","*","*"
"Sprague School District","=""1330011""","English Learner Status","N/A","*"
"Stafford School District","=""1340011""","English Learner Status","*","*"
"Stamford School District","=""1350011""","English Learner Status",73,3.4
"Stonington School District","=""1370011""","English Learner Status","N/A","*"
"Stratford School District","=""1380011""","English Learner Status",19,4.8

